Index;CocaCola;Citigroup;Walmart;Nike
19/12/2007;31.424999;302.100006;48.080002;15.95
20/12/2007;31.139999;298.899994;47.849998;16.502501
21/12/2007;31.535;302.399994;48.209999;16.567499
24/12/2007;31.605;309.799988;48.740002;16.719999
26/12/2007;31.504999;304.5;48.380001;16.52
27/12/2007;31.15;295.600006;47.77;16.25
28/12/2007;31.135;292.899994;48.080002;16.077499
31/12/2007;30.684999;294.399994;47.529999;16.059999
02/01/2008;30.545;289.200012;46.900002;15.82
03/01/2008;30.865;289.299988;46.380001;15.6775
04/01/2008;30.924999;282.399994;45.720001;15.435
07/01/2008;31.655001;282.600006;46.560001;15.5275
08/01/2008;31.785;271.399994;45.970001;15.4575
09/01/2008;32.634998;274.899994;46.900002;15.4925
10/01/2008;32.779999;281.100006;48.400002;15.635
11/01/2008;31.885;285.600006;47.720001;15.175
14/01/2008;32.150002;290.600006;47.669998;15.1825
15/01/2008;31.805;269.399994;46.990002;14.265
16/01/2008;31.325001;262.399994;47.490002;14.4175
17/01/2008;31.02;249.600006;47.48;13.995
18/01/2008;30.370001;244.5;47.580002;14.125
22/01/2008;29.395;244;49.200001;14.3225
23/01/2008;29.434999;263.600006;50.16;14.38
24/01/2008;29.940001;273.299988;48.91;14.3525
25/01/2008;29.205;266.399994;48.09;14
28/01/2008;29.705;276.5;48.709999;14.3225
29/01/2008;29.275;279.100006;49.009998;14.3375
30/01/2008;28.885;278.799988;49.16;14.85
31/01/2008;29.5;281.700012;50.740002;15.3325
01/02/2008;29.629999;296.899994;51.18;15.6275
04/02/2008;29.315001;292.200012;50.07;15.185
05/02/2008;28.700001;270.5;49.560001;14.95
06/02/2008;28.855;269.200012;48.830002;15.0075
07/02/2008;29.225;267;49.84;15.19
08/02/2008;29.625;260.299988;48.759998;15.16
11/02/2008;29.75;258.100006;49.599998;15.165
12/02/2008;29.959999;262.100006;50.25;15.3425
13/02/2008;29.695;263.399994;50.66;15.6375
14/02/2008;29.275;257.399994;49.970001;15.575
15/02/2008;29.379999;254.800003;49.439999;15.5725
19/02/2008;29.049999;253.199997;49.66;15.28
20/02/2008;29.115;254.899994;49.700001;15.3
21/02/2008;28.995001;250.5;49.790001;15.08
22/02/2008;29.129999;251.199997;49.970001;15.1475
25/02/2008;29.385;247.399994;50.330002;15.3975
26/02/2008;29.76;249.5;51.400002;15.6525
27/02/2008;30.025;257.200012;51.43;15.595
28/02/2008;29.73;250.100006;50.700001;15.51
29/02/2008;29.23;237.100006;49.59;15.05
03/03/2008;29.51;230.899994;49.889999;15.0225
04/03/2008;29.684999;221;49.869999;15.1075
05/03/2008;29.84;221.5;49.549999;15.2025
06/03/2008;29.549999;211.699997;49.98;14.895
07/03/2008;29.424999;209.100006;49.900002;14.56
10/03/2008;29.33;196.899994;48.849998;14.2425
11/03/2008;29.735001;214.899994;50.25;14.48
12/03/2008;29.594999;212.100006;50.290001;14.94
13/03/2008;29.465;210.699997;50.599998;15.2575
14/03/2008;28.764999;197.800003;49.82;14.99
17/03/2008;28.844999;186.199997;49.950001;14.815
18/03/2008;29.705;207.100006;50.98;15.4175
19/03/2008;29.98;204.100006;50.779999;15.4575
20/03/2008;30.52;225;53.23;16.817499
24/03/2008;30.59;232.699997;53.630001;17.27
25/03/2008;30.705;234.199997;53.049999;17.092501
26/03/2008;30.575001;220.5;52.900002;16.567499
27/03/2008;30.655001;217.899994;52.369999;16.495001
28/03/2008;30.469999;208.300003;52.119999;16.465
31/03/2008;30.434999;214.199997;52.68;17
01/04/2008;30.719999;238.399994;54.080002;17.3925
02/04/2008;30.23;240.199997;54.459999;16.9925
03/04/2008;30.280001;243.600006;54.93;17.225
04/04/2008;30.125;240.800003;54.400002;17.127501
07/04/2008;30.184999;246;54.23;16.7075
08/04/2008;30.254999;237.600006;54.450001;16.6325
09/04/2008;30.389999;235.800003;54.139999;16.610001
10/04/2008;30.665001;237.100006;54.66;16.842501
11/04/2008;30.145;233.600006;54.799999;16.672501
14/04/2008;30.5;225.100006;55.150002;16.514999
15/04/2008;30.469999;228;56.27;16.455
16/04/2008;30.575001;234.399994;57.07;16.5175
17/04/2008;30.34;240.300003;56.669998;16.887501
18/04/2008;30.055;251.100006;56.310001;16.9725
21/04/2008;30.174999;250.300003;56.380001;17.155001
22/04/2008;29.945;251.199997;56.549999;17.0075
23/04/2008;30.16;246.300003;56.919998;16.895
24/04/2008;30.125;257.600006;57.450001;17.014999
25/04/2008;29.665001;266;57.650002;17.184999
28/04/2008;29.49;268.100006;57.349998;16.955
29/04/2008;29.360001;263.200012;58.610001;17.057501
30/04/2008;29.434999;252.699997;57.98;16.700001
01/05/2008;29.545;259.899994;58.07;16.952499
02/05/2008;29.385;263.899994;57.5;16.915001
05/05/2008;29.190001;257.5;56.970001;16.745001
06/05/2008;29.135;258.700012;56.349998;16.895
07/05/2008;28.514999;244.800003;56.830002;16.6875
08/05/2008;28.145;243;57.16;16.200001
09/05/2008;28.075001;236.300003;57.18;16.217501
12/05/2008;28.200001;236.399994;58.02;16.334999
13/05/2008;28.25;230.300003;56.650002;16.415001
14/05/2008;28.27;232.5;57.450001;16.860001
15/05/2008;28.504999;237.300003;57.119999;17.004999
16/05/2008;28.535;231.199997;57.040001;16.8825
19/05/2008;28.76;229.899994;56.400002;16.945
20/05/2008;28.545;221.100006;55.950001;16.76
21/05/2008;28.325001;210.600006;55.23;16.282499
22/05/2008;29.135;217.199997;56.049999;16.252501
23/05/2008;29.315001;211.199997;55.75;16.192499
27/05/2008;29.295;216.600006;56.400002;16.504999
28/05/2008;28.719999;216;57.09;16.844999
29/05/2008;28.934999;220.399994;57.939999;17.0975
30/05/2008;28.629999;218.899994;57.740002;17.092501
02/06/2008;28.5;214.600006;57.200001;16.785
03/06/2008;28.200001;214.199997;57.77;16.7425
04/06/2008;28.35;210.800003;57.68;16.985001
05/06/2008;28.594999;212.199997;59.799999;17.5175
06/06/2008;27.9;200.600006;58.369999;16.9825
09/06/2008;27.93;196;59.57;17.145
10/06/2008;29.004999;202.600006;59.779999;17.120001
11/06/2008;28.57;192.100006;58.52;16.860001
12/06/2008;28.57;198.899994;59.110001;16.695
13/06/2008;27.709999;204.800003;59.18;17.247499
16/06/2008;27.09;208.300003;59.310001;17.094999
17/06/2008;26.98;204.600006;58.689999;17
18/06/2008;26.58;204;57.669998;16.969999
19/06/2008;26.68;201.699997;57.689999;16.959999
20/06/2008;26.83;193;56.259998;16.682501
23/06/2008;26.629999;185.5;56.639999;16.725
24/06/2008;26.684999;188.5;57.32;16.4925
25/06/2008;27.049999;188.5;58.119999;16.4925
26/06/2008;26.610001;176.699997;56.830002;14.875
27/06/2008;25.92;172.5;56.299999;15.085
30/06/2008;25.99;167.600006;56.200001;14.9025
01/07/2008;25.5;171.300003;57.029999;14.7475
02/07/2008;25.684999;168.399994;56.5;14.5225
03/07/2008;25.74;168.199997;56.599998;14.63
07/07/2008;25.645;164;56.91;14.115
08/07/2008;25.735001;173.899994;59.110001;14.58
09/07/2008;25.445;164.399994;57.669998;14.2375
10/07/2008;25.02;162.800003;57.209999;13.9175
11/07/2008;25.135;161.899994;56.290001;14.065
14/07/2008;25.48;152.199997;56.310001;13.9525
15/07/2008;25.895;145.600006;56.240002;14.41
16/07/2008;26.17;164.699997;56.959999;14.54
17/07/2008;25.17;179.699997;57.68;14.64
18/07/2008;25.014999;193.5;57.919998;14.55
21/07/2008;24.799999;196.899994;57.310001;14.3775
22/07/2008;25.674999;208.899994;59.060001;14.6675
23/07/2008;26.25;211.199997;58.09;14.8
24/07/2008;25.93;190.600006;56.970001;14.5325
25/07/2008;26.030001;188.5;56.830002;14.5425
28/07/2008;25.575001;174.300003;56.02;14.31
29/07/2008;25.785;184.5;57.450001;14.765
30/07/2008;25.655001;188.100006;58.560001;14.92
31/07/2008;25.75;186.899994;58.619999;14.67
01/08/2008;26.57;188.699997;57.75;14.85
04/08/2008;26.950001;188.300003;58.43;14.945
05/08/2008;27.455;199.199997;60.34;15.395
06/08/2008;27.68;197;60.759998;15.5475
07/08/2008;27.004999;184.699997;56.959999;15.2125
08/08/2008;27.705;193.899994;57.860001;15.7375
11/08/2008;27.674999;198.199997;58.560001;15.8175
12/08/2008;27.395;185.399994;59.25;15.525
13/08/2008;27.605;178.100006;57.880001;15.4925
14/08/2008;27.51;180.800003;58.099998;15.5
15/08/2008;27.530001;185.5;59.369999;15.5725
18/08/2008;27.165001;176.199997;58.830002;15.4125
19/08/2008;27.165001;171.899994;58.200001;15.2575
20/08/2008;27.174999;174.899994;58.360001;15.165
21/08/2008;26.754999;174.699997;58.5;15.1475
22/08/2008;27.184999;181.399994;59.439999;15.2775
